customer_state,avg_delivery_days,delivered_orders
SP,8.76,40495
PR,11.99,4923
MG,12.01,11355
DF,12.97,2080
SC,14.96,3547
RS,15.30,5344
RJ,15.31,12353
GO,15.61,1957
MS,15.62,701
ES,15.79,1995
TO,17.66,274
MT,18.06,886
PE,18.45,1593
RN,19.28,474
BA,19.34,3256
RO,19.37,243
PI,19.46,476
PB,20.43,517
AC,21.04,80
CE,21.27,1279
SE,21.52,335
MA,21.57,717
PA,23.77,946
AL,24.54,397
AM,26.43,145
AP,27.19,67
RR,29.39,41
